Discription,Unit of Measure, Unit Price (USD) 
"FM200 Gas Flooding Extinguishing System complete.  Based on type 2. Supply and install, including all brackets, straps,  identification plates and discs. Gas bottle and gas  - 50 kg",each,5091.84
"FM200 Gas Flooding Extinguishing System complete.  Based on type 2. Supply and install, including all brackets, straps,  identification plates and discs. 20 Kg manual fire extinguisher",each,1138.18
"FM200 Gas Flooding Extinguishing System complete.  Based on type 2. Supply and install, including all brackets, straps,  identification plates and discs. Portable fire extinguisher",each,1108.22
Transport & erect bulk fuel storage tank. 1-100km.,each,973.44
Temporary Dust Barrier (Interior),sq.m.,2.4
"Shelter. Pre-installed, fully equipped, steel shelter 3x3x2.77 (internal dim.). With A/C set of 4 ton capacity.Price not include DC power and telecom equipment.",each,37757.85
"Making a new opening on the shelter sandwich wall, filling of any voids with a suitable and provision of a square frame",each,772.95
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In the urban areas of the 5 major cities. (up to 20 ton),each,410.74
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In the urban areas of the 5 major cities.   (up to 40 ton),Each,259.76
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In the urban areas of the 5 major cities.  (up to 50 ton),each,421.39
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In the urban areas of the 5 major cities. (up to 100 ton),each,750.42
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In the urban areas of the 5 major cities.  (up to 120 ton),each,923.59
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In the urban areas of the 5 major cities.(up to 150 ton),each,1558.56
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In other than the 5 major centers.  (up to 20 ton),each,1281.01
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In other than the 5 major centers. (up to 40 ton),each,896.17
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In other than the 5 major centers.  (up to 50 ton),each,1254.64
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In other than the 5 major centers.  (up to 100 ton),each,3024.58
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In other than the 5 major centers. (up to 120 ton),each,5750.43
"Hollow block in cement mortar  -  non load bearing, 250 mm",sq. m.,50.24
"Cement and sand paving, finished, 3cm. thick",sq. m.,17.39
Tyrolean plaster as specified to external walls,sq. m.,7.73
"Gate, 1meter",each,985.51
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 1"" diameter pipe",lin.m.,17.39
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 1½"" diameter pipe",lin.m.,19.32
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 2"" diameter pipe",lin.m.,21.26
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 2½"" diameter pipe",lin.m.,23.19
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 3"" diameter pipe",lin.m.,28.99
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 4"" diameter pipe",lin.m.,57.97
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 6"" diameter pipe",lin.m.,57.97
"PVC or other plastic pipes with fittings. Supply and install plastic pipework, including all necessary fittings, 4"" dia (100 mm) - perforated pipe",lin.m.,57.97
Grounding conductor 70 mm,lin.m.,12.13
S&I BATB to collect the site External alarms.,unit ,579.71
"S&I of 6KGM Fire Extinguisher ""CO2"" ",each,96.62
S&I Alarm cables from equipments to BATB.,Meter ,2.9
"Additional / Extra Price for working inside of Saudi Aramco, Royal Commission and other governmental related Boundaries which needs special preparations at Rural area (minor requirements)",Each,7125
"Additional / Extra Price for working inside of Saudi Aramco, Royal Commission and other governmental related Boundaries which needs special preparations. ",,29268.29
"S&I Concrete counter weight block 50 KG for RT sites , including supply, transportation and labor charge ( Minimum 12 Pcs per site)",PCS,68.74
19 inch Open Rack,Each,637.68
Dismantling and transportation of rectifier module,Each,811.59
Installation and transportation of rectifier module,Each,1159.42
Installation and transportation of third party rectifier modules,Each,1159.42
Relocation existing module from one site to another site (Per Site),Each,579.71
Mini-shelter Air Conditioner Installation,Each,1545.89
Dismantling of Mini-shelter  Air Conditioner and transport to warehouse,Each,1159.42
Submit detailed civil design drawings for additional shelter for Rooftop,Each,2956.52
"Site Preparation (Existing space clearance, AC units relocation etc.)",Each,1043.48
Supply & installation of Cable tray(400mm) &  gantry posts and all accessories between Shelter & Tower. As per Zain Specs,Mt ,425.12
"Supply and installation of 6m pole tower, antenna mounts, accessories  conceret blocks.as per Zain spec.",Each,9661.84
Supply and installation of Islamic Decorative fence for the ODU.,M,463.77
"Dismantle, Relocation & installation of ODU include earthing.",Each,4830.92
Make site Survey for LOS and prepare LOS report.,Each,1236.71
Validation RF requirement and complete the technical RF data.,Each,1236.71
Supply and installation Services  KWH Power Meter 100 Amp.,M2,1294.69
"Supply of 8mm galvanized steel guy wire 6x37 with IWRC, as per DIN3066 Standards",m,7.62
"Supply of 10mm galvanized steel guy wire 6x37 with IWRC, as per DIN3066 Standards",m,9.52
"Supply of 12mm galvanized steel guy wire 6x37 with IWRC, as per DIN3066 Standards",m,13.33
"Supply of 14mm galvanized steel guy wire 6x37 with IWRC, as per DIN3066 Standards",m,20.95
"Supply of 16mm galvanized steel guy wire 6x37 with IWRC, as per DIN3066 Standards",m,26.67
Supply of 25~50A third party Rectifier modules Per sites,Each,671.82
"Supply of Indoor type 16 KW, -48V DC Complete Power system as per Zain Specs & SOW including Battery and Rectifier modules ",Each,9112.99
Supply of 4 Block (12 V 170 AH) High Temperature batteries (35 degree Nominal operation) as per Zain Approved Specs.,Each,1709.42
Supply of 4 Block (12 V 210 AH) High Temperature batteries (35 degree Nominal operation) as per Zain Approved Specs.,Each,1982.66
Supply of Power solution for Pylon and wall mount Sites (TDD & 5G) (FPRB with 2 Modules 3KW),Each,976.66
"Dismantling of rooftop site, include all of the pole, antenna mounts, cables, foundations, reinforcement bars, accessories , I beams, Telecom room etc. and crane service, transportation all of the materials to WH.",Each,8729.47
Performing survey and providing SAR/ISR report for 4  valid candidates,Each,1574.3
"Lease Agreement: Negotiate with landlords  to submit the signed lease Agreement according to Zain rules and standards. Rental prices shall be within the target price in each Negotiate with landlords by Zain team     area. Submit Site Hand over and follow up the rooftop Keys, in addition of cheques delivery as part of SA task.",Each,1259.44
"Prepare Building permit package to Amana /Municipality including the required building structural documentation & authorized certification, chase Final Building Permit Approval Baladiyah Fees will be paid separately.  And provide all additional approvals need  Like MOT , GACA …etc. ",Each,1352.66
Apply for SCECO power connection and follow up until site is energized. SCECO fee will be paid separately.,Each,1259.44
"Make site Survey and collect the data and photos and submit the date to planning team, include initial drawing and finial TSSR folder",Each,1352.66
Additional fee for new sites establishment for Ranked Amana  # 5.,Each,345.1
Additional fee for new sites establishment for Ranked Amana  # 4.,Each,690.2
Additional fee for new sites establishment for Ranked Amana  # 3.,Each,1035.29
Additional fee for new sites establishment for Ranked Amana  # 2.,Each,1380.39
Additional fee for new sites establishment for Ranked Amana  # 1.,Each,1725.49
Supply of Battery Anti-Theft Box for each battery string ,Each,347.82
Prepare other operators sharing package as per Zain requirements,Each,1666.67
Power system replacement including dismantling the old unit,Each,2859.85
Power system Installation in existing sites,Each,2148.5
Tower analysis for existing site through Zain Approved consultant,Each,2666.67
Rectifier Modules expansion for existing sites (2KW),Each,671.82
"Supply of Outdoor type 16 KW, -48V DC Complete Power system as per Zain Specs & SOW including Battery and Rectifier modules ",Each,10693.7
Supply of FPRB Flexi Power Rectifier ,Each,976.66
Supply of Rectifier AA27530L 48/3000 for the FPRB module ,Each,519.59
Supply of ODU (Minishelter) with  24 KW Rectifier Capacity and 3000W AC with 2 strings High Temperature batteries (210 AH each string ) + 5 Rectifier Modules 3KW each and including Battery Box,Each,14386.79
Supply of ODU (Minishelter) with  24 KW Rectifier Capacity and 3000W AC with 2 strings High Temperature batteries (170 AH each string ) + 5 Rectifier Modules 3KW each  and including Battery Box,Each,13840.31
"Supply of Outdoor type  24 KW, -48V DC Power system as per Zain Specs & SOW without batteries  and without Rectifier modules ",Each,6864.92
"Supply of Indoor type  24 KW, -48V DC Power system as per Zain Specs & SOW without batteries ",Each,4791.81
New Rectifier Module (Flat pack) 3KW HE,Each,711.31
Supply of IDU Power System with 24 KW Rectifier Capacity and with 2 strings High Temperature batteries (210 AH each string ) + 5 Rectifier Modules 3KW each and including Battery Box,Each,11767.2
Supply of IDU Power system with  24 KW Rectifier Capacity and with 2 strings High Temperature batteries (170 AH each string ) + 5 Rectifier Modules 3KW each  and including Battery Box,Each,12313.68
Supply & Installation FCOB FLEXI CABINET OUTDOOR for Airscale,Each,1145.55
Supply & Installation Slotpack power solution 5.4KW,Each,957.45
Supply of NOLB Flexi Power Battery 50Ah ,Each,1391.56
Instalation Service for Outdoor Power System in existing site,Each,3098.5
Flatpack PRSB 16kW/48V OD ACU 2m including 6 Rectifier modules 2 KW (Without Batteries) ,Each,7274.86
Supply of super silent  23-25 KVA Genset 127/220V-60Hz- 0.8 PF - 1800RPM @50C˚& 700M ASL as per Zain Specs with noise level of 60 dBA @ 1m and built in fuel tank with 1000 L capacity.,Each,19801.81
Supply of 33-35 KVA Genset 127/220V-60Hz- 0.8 PF - 1800RPM @50C˚& 700M ASL as per Zain Specs with built in fuel tank of 1000 L capacity.,Each,22927.56
"Single Genset Installation(Genset, Fuel pipes, AC Power & Alarms cables, required Accessories) As per Zain KSA Standard  ",Each,3108.54
Supply of Normal Temporary Generator for 1 months,Month,3162.3
Supply of super silent  Temporary Generator for 1 months,Month,4829.29
Delta between normal foundation & Pils foundation (piles including Piles cap & piles) for piles length upto 15m,M3,2163.7
Additional payment Amana Jeddah requirements  ( laboratory fees /consultant fees/ permit print fees/ Damarat fees),Site,2610.72
Additional Ring for Monopole as per Zain Specs with one Pole only,Each,2797.2
protection post for LP above 16 Post,Each,261.07
Antenna stekar for non-camouflage tower,Site,1081.59
Dismantling CW Material for cancelled sites due to Zain related issue for RT sites,Site,7086.25
Dismantling CW Material for cancelled sites due to Zain related issue for GF sites,Site,18648.02
Dismantling TI Material for cancelled sites due to Zain related issue for GF sites,Site,3170.16
Additional Telcom / TX Imp TSSR ,Site,335.66
Non Completed installation RT Site because of Zain Related issues,Site,16783.22
Sharing package For rejected candidate,Site,1666.67
"Gypsum Board Works, Change Ceiling, Make opening. ",L.S,1864.8
"Decoration Wall or Ceiling works Change Ceiling, Make opening.",L.S,1864.8
"Survey, Measurement & installation for AC power Load Balance ""Cable arrangement for load distribution""",Site,1230.77
"Survey, Measurement & installation for AC power Load Balance ""Rectifier re -distribution""",Site,1230.77
Rejected  Application for SCECO meter connection or rejected to high price or justified reason ,Site,1259.44
Rejected Application for Baladya permits due Zain related issues ,Site,932.4
"Performed Survey with SCECO, Engineering Office or Municipality representative ",Site,932.4
Single Generator dismantling and tarnsportation to WH or the taregt Site,Site,1864.8
Dual Generator dismantling and tarnsportation to WH or the taregt Site,Site,2554.78
Excavation permit Rank 1,site,2666.67
Excavation permit Rank 2,site,3466.67
Excavation permit Rank 3,site,4266.67
Excavation permit Rank 4,site,5066.67
Excavation permit Rank 5,site,5866.67
2 ports HG Antennas 2L,Each,752
4 Ports Antennas 4L,Each,1652.5
8 Ports Antenns 4L4H,Each,2846.23
10 Ports Antennas 2L8H,Each,1711
12 ports Antennas 4L8H,Each,3362.82
16 Ports Antennas 4L12H,Each,3714.29
Diplxers 800/900,Each,516.93
Implementation services - New Site,Each,9537.45
Implementation services - LTE Introduction,Each,3593
Implementation services - Introduction 5G,Each,8536
Implementation services – Dismantling & Introduction AAHF sites 4G/5G,Each,7890.27
Implementation services - New Link EB/CA,Each,3425
Implementation services - New Link 8+0,Each,4973.79
Implementation services - New Link 8+8,Each,7186.03
Implementation services - Dismantling MW Link,Each,1240.15
Implementation services - Traffic shifting ,Each,1253
Planning  services - New Site,Each,8418
Planning  services - LTE Introduction,Each,2515
Planning  services - Introduction 5G,Each,7752.49
Planning services - Introduction for Dismantled AAHF sites 4G/5G,Each,3772.5
Planning Services - New Link FoC,Each,2368
Implementation services - Dismantling Telecom Site,Each,2875
