Discription,Unit of Measure, Unit Price (USD) 
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 120mm²",lin.m.,83.94
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary,150mm²",lin.m.,101.09
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 185mm²",lin.m.,131.02
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 2.5 mm²",lin.m.,4.06
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 4 mm²",lin.m.,4.06
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 6 mm²",lin.m.,4.06
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 10 mm²",lin.m.,4.58
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 16 mm²",lin.m.,4.58
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 25 mm²",lin.m.,4.58
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 35 mm²",lin.m.,4.58
"Electrical Cable - Single  core, XLPE, 600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 50 mm²",lin.m.,7.79
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 2.5 mm² x 3 core",lin.m.,4.58
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 4 mm² x 3 core",lin.m.,4.58
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 6 mm² x 3 core",lin.m.,4.58
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 10 mm² x 3 core",lin.m.,7.28
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 16 mm² x 3 core",lin.m.,9.43
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 25 mm² x 3 core",lin.m.,12.13
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 35 mm² x 3 core",lin.m.,12.13
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 50 mm² x 3 core",lin.m.,16.71
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 70 mm² x 3 core",lin.m.,18.87
"Electrical Cable - Multicolor, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 95 mm² x 3 core",lin.m.,23.45
"Electrical cable THHN. Supply and install electrical cable within trunking, tray, conduit or direct buried, including connections, cable pull and ties as necessary, 2.5 mm² x single core",lin.m.,2.7
"Electrical cable THHN. Supply and install electrical cable within trunking, tray, conduit or direct buried, including connections, cable pull and ties as necessary, 4 mm² x single core",lin.m.,4.58
"Electrical cable THHN. Supply and install electrical cable within trunking, tray, conduit or direct buried, including connections, cable pull and ties as necessary, 6 mm² x single core",lin.m.,4.58
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x 2 core",lin.m.,4.58
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x 3 core",lin.m.,4.58
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x 4 core",lin.m.,7.28
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x 5 core",lin.m.,9.43
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x 8 core",lin.m.,10.6
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x 10 core",lin.m.,9.43
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x 20 core",lin.m.,12.13
"DC Electrical Power Cable, Multi-strand Grey Color PVC Jacket. Supply and install electrical cable, including connections, cable pull and ties as necessary, 150 mm²",Lin.m,40.44
"DC Electrical Power Cable, Multi-strand Grey Color PVC Jacket. Supply and install electrical cable, including connections, cable pull and ties as necessary, 70 mm²",Each,27.26
"DC Electrical Power Cable, Multi-strand Grey Color PVC Jacket. Supply and install electrical cable, including connections, cable pull and ties as necessary, 50 mm²",Each,20.82
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 250 amp; 3 pole",each,330.49
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 200 amp; 3 pole",each,306.77
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 160 amp; 3 pole",each,259.59
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 125 amp; 3 pole",each,236.14
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 100 amp; 3 pole",each,188.7
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 80 amp; 3 pole",each,188.7
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 63 amp; 3 pole",each,188.7
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 50 amp; 3 pole",each,118.07
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 40 amp; 3 pole",each,94.62
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 25 amp; 3 pole",each,70.63
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 315 amp; 3 pole; in weatherproof enclosure",each,542.64
